,Forecasted Margin,,,Actual Margin (As of 11/05),,,Flipped?,Forecast - Actual Trump
State,Trump,Biden,Difference,Trump,Biden,Difference,,
Nebraska,72.5,25.4,47.1,58%,40%,18%,,
Wyoming,65.8,31,34.8,70%,27%,43%,,
West Virginia,64.5,33.8,30.7,69%,30%,39%,,
Oklahoma,62.1,36.9,25.2,65%,32%,33%,,
Arkansas,60.5,37.8,22.7,63%,34%,29%,,
Idaho,59.5,37.5,22,63%,34%,29%,,
North Dakota,59.6,37.9,21.7,65%,32%,33%,,
Alabama,59.6,39.6,20,62%,36%,26%,,
Louisiana,58.8,40.2,18.6,59%,40%,19%,,
Kentucky,58.4,40.4,18,63%,36%,27%,,
Nebraska,58.2,40.2,18,58%,40%,18%,,
South Dakota,57.8,40.8,17,64%,33%,31%,,
Tennessee,57.3,41.6,15.7,61%,37%,24%,,
Mississippi,56.8,42.5,14.3,59%,39%,20%,,
Utah,55.5,41.7,13.8,58%,38%,20%,,
Kansas,55.7,42.5,13.2,57%,41%,16%,,
Indiana,54.8,44,10.8,59%,39%,20%,,
Missouri,54.1,44.6,9.5,57%,41%,16%,,
Alaska,52.9,44.5,8.4,63%,33%,30%,,
South Carolina,53.4,45.9,7.5,56%,43%,13%,,
Montana,52.2,45.9,6.3,56%,42%,14%,,
Texas,50.3,48.8,1.5,52%,46%,6%,,
Iowa,50,48.5,1.5,53%,45%,8%,,
Ohio,49.8,49.2,0.6,53%,45%,8%,,
Georgia,49.2,50.1,-0.9,50%,49%,1%,,
North Carolina,48.8,50.5,-1.7,50%,49%,1%,,
Florida,48.4,50.9,-2.5,51%,48%,3%,,
Arizona ,48.1,50.7,-2.6,48%,51%,-3%,,
Pennsylvania,47.3,52,-4.7,52%,47%,5%,,
Nevada,46.2,52.3,-6.1,49%,49%,0%,,
Michigan,45.5,53.5,-8,49%,50%,-1%,,
Wisconsin,45.4,53.7,-8.3,49%,49%,0%,,
Minnesota,44.6,53.7,-9.1,45%,53%,-8%,,
New Hampshire,44.2,54.8,-10.6,45%,53%,-8%,,
Colorado,42.8,54.5,-11.7,42%,56%,-14%,,
Maine,43.4,55.2,-11.8,43%,54%,-11%,,
Virginia,43.3,55.8,-12.5,45%,54%,-9%,,
New Mexico,42.6,55.6,-13,44%,54%,-10%,,
Illinois,40.4,58.3,-17.9,42%,56%,-14%,,
Oregon,39.3,58.7,-19.4,40%,57%,-17%,,
New Jersey,39.4,59.7,-20.3,38%,61%,-23%,,
Washington,37,60.8,-23.8,37%,61%,-24%,,
Connecticut,37.5,61.6,-24.1,40%,58%,-18%,,
Delaware,36.6,62.3,-25.7,40%,59%,-19%,,
Rhode Island,35.7,62.9,-27.2,39%,59%,-20%,,
New York,35,64.1,-29.1,40%,58%,-18%,,
California,34.1,64.1,-30,33%,65%,-32%,,
Maryland,33.6,65,-31.4,35%,63%,-28%,,
Massachusetts,31.8,66.7,-34.9,31%,67%,-36%,,
Hawaii,30.9,67.5,-36.6,34%,64%,-30%,,
Vermont,29.1,67.2,-38.1,32%,65%,-33%,,
DC,5.4,91.3,-85.9,6%,92%,-86%,,