,"Trump support 11/04/2020, 10:15am",Trump,Biden,difference
"Alabama,AL",62.47,62.47,36.44,26.03
"Alaska,AK",62.91,63.56,32.39,31.17
"Arizona,AZ",47.63,47.64,51,-3.36
"Arkansas,AR",62.47,62.56,34.6,27.96
"California,CA",32.93,32.93,65.22,-32.29
"Colorado,CO",41.76,41.89,55.62,-13.73
"Connecticut,CT",40.03,40.49,58.02,-17.53
"Delaware,DE",39.78,39.78,58.8,-19.02
"District of Columbia,DC",5.19,5.19,93.42,-88.23
"Florida,FL",51.25,51.25,47.85,3.4
"Georgia,GA",50.3,50.19,48.59,1.6
"Hawaii,HI",33.76,34.26,63.74,-29.48
"Idaho,ID",63.88,63.88,33.09,30.79
"Illinois,IL",43.01,43.05,55.07,-12.02
"Indiana,IN",58.77,58.51,39.53,18.98
"Iowa,IA",53.24,53.24,45,8.24
"Kansas,KS",56.76,56.77,41.05,15.72
"Kentucky,KY",62.57,62.57,35.7,26.87
"Louisiana,LA",58.47,58.47,39.85,18.62
"Maine,ME",44.12,44.15,52.93,-8.78
"Montana,MT",56.49,56.8,40.73,16.07
"Nebraska,NE",58.76,58.78,39.12,19.66
"Nevada,NV",48.59,48.69,49.33,-0.64
"New Hampshire,NH",45.31,45.64,52.73,-7.09
"New Jersey,NJ",37.95,38.11,60.86,-22.75
"New Mexico,NM",43.86,43.86,53.94,-10.08
"New York,NY",43.27,43.34,55.35,-12.01
"North Carolina,NC",50.09,50.09,48.69,1.4
"North Dakota,ND",65.48,65.48,31.92,33.56
"Ohio,OH",53.36,53.36,45.19,8.17
"Oklahoma,OK",65.37,65.37,32.29,33.08
"Oregon,OR",40.15,40.2,57.47,-17.27
"Maryland,MD",34.93,35.08,63.15,-28.07
"Massachusetts,MA",32.5,32.48,65.71,-33.23
"Michigan,MI",48.8,48.61,49.86,-1.25
"Minnesota,MN",45.41,45.4,52.59,-7.19
"Mississippi,MS",59.42,59.33,39.25,20.08
"Missouri,MO",41.32,56.91,41.32,15.59
"Pennsylvania,PA",53.47,52,46.85,5.15
"Rhode Island,RI",39.34,39.17,59.37,-20.2
"South Carolina,SC",55.67,55.38,43.12,12.26
"South Dakota,SD",64.12,64.11,33.2,30.91
"Tennessee,TN",60.72,60.72,37.42,23.3
"Texas,TX",52.26,52.26,46.33,5.93
"Utah,UT",58.19,58.19,38.31,19.88
"Vermont,VT",30.84,30.84,66.44,-35.6
"Virginia,VA",44.63,44.61,53.94,-9.33
"Washington,WA",36.84,36.85,61.04,-24.19
"West Virginia,WV",68.72,68.73,29.61,39.12
"Wisconsin,WI",48.95,48.95,49.57,-0.62
"Wyoming,WY",70.38,70.38,26.72,43.66
,,,,1.632156863
,,,,24.62354128